"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Filter Product in Sauce Demo Web App: Filtering Product Price from Low to High","","0","0","1","0","0"
"","Filter Product in Sauce Demo Web App: Filtering Product Name from A to Z","","0","0","1","0","0"
"","View, Add and Remove Product in Sauce Demo Web App: User remove product in product detail","","0","0","1","0","0"
"","User want to checkout product in cart: User checkout product with valid information","","0","0","2","0","0"
"","Login Sauce Demo Web App: User login without input credentials","","0","0","1","0","0"
"","User want to checkout product in cart: User checkout without product","","1","0","0","0","0"
"","Login Sauce Demo Web App: User login with invalid credentials","","0","0","1","0","0"
"","User want to checkout product in cart: User input checkout information field without firstname","","0","0","1","0","0"
"","Filter Product in Sauce Demo Web App: Filtering Product Price from High to Low","","0","0","1","0","0"
"","Login Sauce Demo Web App: User login with valid credentials","","0","0","1","0","0"
"","Filter Product in Sauce Demo Web App: Filtering Product Name from Z to A","","0","0","1","0","0"
"","User view cart in Sauce Demo Web App: User view his selected product in cart","","0","0","1","0","0"
"","User want to checkout product in cart: User input checkout information field without lastname","","0","0","1","0","0"
"","View, Add and Remove Product in Sauce Demo Web App: User add product to cart via product detail","","0","0","1","0","0"
"","View, Add and Remove Product in Sauce Demo Web App: User choose the product he wants to view","","0","0","1","0","0"
"","Login Sauce Demo Web App: User login without input password","","0","0","1","0","0"
"","View, Add and Remove Product in Sauce Demo Web App: User remove product in product page","","0","0","1","0","0"
"","View, Add and Remove Product in Sauce Demo Web App: User add product to cart directly","","0","0","1","0","0"
"","User logout: User logout his account from sauce demo web app","","0","0","1","0","0"
"","User want to checkout product in cart: User input checkout information field without postal code","","0","0","1","0","0"
